,Unnamed: 0,name,Daily,%YD,%LW,Theaters,Avg,To Date,Days,Distributor
1801,1801," ""A Dog's Journey""",", ",", ",", ",", ",", ",", ",", ",", "
1802,1802, 'Brightburn',"$59,621 ",-39.60%,-66.10%,307,$194 ,"$17,045,384 ",24,Screen Gems\n\n
1805,1805, 'The Hustle',"$39,061 ",-47.20%,-63.90%,242,$161 ,"$34,903,969 ",38,United Artists Releasing\n\n
1807,1807, 'The Intruder',"$37,926 ",-39.90%,-55.50%,134,$283 ,"$35,244,030 ",45,Screen Gems\n\n
1808,1808, 'American Woman',"$35,895 ",-13.40%,-,117,$306 ,"$110,552 ",3,Roadside Attractions\n\n
1811,1811, 'Long Shot',"$20,231 ",-26.30%,-17.70%,133,$152 ,"$30,276,659 ",45,Lionsgate\n\n
1812,1812, 'UglyDolls',"$17,652 ",-27.70%,-42.10%,139,$126 ,"$19,957,034 ",45,STX Entertainment\n\n
1813,1813, 'The Souvenir',"$17,333 ",-26.10%,-64.30%,83,$208 ,"$841,272 ",31,A24\n\n
1815,1815, '5B',"$11,247 ",-17.60%,-,128,$87 ,"$38,314 ",3,-
1816,1816, 'The Tomorrow Man',"$10,250 ",-18.30%,-77.20%,78,$131 ,"$331,848 ",26,Bleecker Street Media\n\n
1817,1817, 'Poms',"$9,543 ",-27.50%,-66%,87,$109 ,"$13,596,696 ",38,STX Entertainment\n\n
1819,1819, 'Non-Fiction',"$7,846 ",-24.10%,-55.40%,42,$186 ,"$614,822 ",45,IFC Films\n\n
1820,1820, 'Framing John DeLorean',"$7,229 ",-20.50%,448.10%,11,$657 ,"$31,949 ",10,IFC Films\n\n
1821,1821, 'Halston',"$6,549 ",-15.50%,3.60%,30,$218 ,"$98,971 ",24,The Orchard\n\n
1823,1823, 'Hampstead',"$5,648 ",-21.30%,-,12,$470 ,"$17,141 ",3,IFC Films\n\n
1826,1826, 'Meeting Gorbachev',"$1,200 ",-25.90%,-71.60%,7,$171 ,"$224,497 ",45,1091 Media\n\n
1827,1827, 'Leaving Home,"$1,039 ",57.90%,-17.70%,3,$346 ,"$18,061 ",19,Greenwich Entertainment\n\n
1829,1829, 'Last Year at Marienbad2019 Re-release',$843 ,38.40%,112.90%,1,$843 ,"$36,258 ",31,Janus Films\n\n
1830,1830, 'Funan',$811 ,8.10%,17%,2,$405 ,"$5,424 ",10,GKIDS\n\n
1831,1831, 'The Silence of Others',$448 ,-71.30%,-80.70%,2,$224 ,"$58,242 ",40,Argot Pictures\n\n
1852,1852, 'Screwed',"$9,680 ",-19.40%,-70%,242,$40 ,"$7,027,345 ",28,Universal Pictures\n\n
1889,1889, '7 Khoon Maaf',"$5,356 ",-27.10%,-,65,$82 ,"$208,319 ",7,UTV Motion Pictures\n\n
1894,1894, 'Immigration Tango',"$1,891 ",3.80%,-,30,$63 ,"$22,725 ",7,Roadside Attractions\n\n
1896,1896, 'Public Speaking',"$1,350 ",-60.20%,-,1,"$1,350 ","$4,740 ",2,Rialto Pictures\n\n
1897,1897, 'Brotherhood',$702 ,125%,-,1,$702 ,"$9,515 ",7,Phase 4 Films\n\n
1903,1903, 'Snow White and the Huntsman',"$7,478,665 ",83.50%,-63.50%,"3,777","$1,980 ","$82,957,350 ",8,Universal Pictures\n\n
1907,1907," ""What to Expect When You're Expecting""",", ",", ",", ",", ",", ",", ",", ",", "
1908,1908, 'The Dictator',"$713,818 ",44.70%,-49.10%,"1,651",$432 ,"$53,752,358 ",24,Paramount Pictures\n\n
1909,1909, 'Battleship',"$693,670 ",29.80%,-52%,"1,954",$355 ,"$58,237,475 ",22,Universal Pictures\n\n
1911,1911, 'Dark Shadows',"$432,591 ",0.30%,-59.50%,"1,550",$279 ,"$72,808,224 ",29,Warner Bros.\n\n
1913,1913, 'Chernobyl Diaries',"$281,835 ",-21.10%,-72.80%,"1,180",$238 ,"$16,392,096 ",15,Warner Bros.\n\n
1914,1914, 'For Greater Glory: The True Story of Cristiada',"$249,502 ",45.20%,-57.70%,642,$388 ,"$2,843,699 ",8,Arc Entertainment\n\n
1923,1923, 'Crooked Arrows',"$62,108 ",42.10%,-75.70%,278,$223 ,"$1,401,945 ",22,-
1926,1926, 'Rowdy Rathore',"$38,356 ",73.10%,-63.90%,100,$383 ,"$549,675 ",8,UTV Motion Pictures\n\n
1934,1934, 'Piranha 3DD',"$13,416 ",-22.90%,-78.90%,78,$172 ,"$291,880 ",8,-
1936,1936, 'Lola Versus',"$8,932 ",-,-,4,"$2,233 ","$8,932 ",1,Fox Searchlight Pictures\n\n
1937,1937, 'Girl in Progress',"$8,745 ",157.20%,11.20%,57,$153 ,"$2,534,356 ",29,Lionsgate\n\n
1942,1942, 'Letters to Elena',"$1,974 ",-,-,12,$164 ,"$1,974 ",1,Freestyle Releasing\n\n
1945,1945, 'High School',$949 ,-91%,-96.60%,4,$237 ,"$134,044 ",8,Anchor Bay Films\n\n
1948,1948, 'The Loving Story',$132 ,-,-,1,$132 ,$132 ,1,Icarus Films\n\n
1951,1951, 'The Whole Nine Yards',"$2,359,000 ",-47.70%,-44.60%,"2,910",$810 ,"$28,444,377 ",10,Warner Bros.\n\n
1998,1998, 'Middle Men',"$17,723 ",-14.90%,-62.10%,252,$70 ,"$695,735 ",13,Paramount Vantage\n\n
